demand_heat,boiler,heat_pump,import
-54.769,50.0,4.768999999999998,-0.0
-89.884,50.0,39.884,-0.0
-71.512,50.0,21.512,-0.0
-84.653,50.0,34.653000000000006,-0.0
-59.256,50.0,9.256,-0.0
-70.14,50.0,20.14,-0.0
-64.14,50.0,14.14,-0.0
-79.653,50.0,29.653000000000006,-0.0
-87.165,50.0,37.165000000000006,-0.0
-92.049,50.0,42.04900000000001,-0.0
-67.769,50.0,17.769000000000005,-0.0
-64.397,50.0,14.397000000000006,-0.0
-76.653,50.0,26.653000000000006,-0.0
-50.256,50.0,0.2560000000000002,-0.0
-77.165,50.0,27.165000000000006,-0.0
-55.14,50.0,5.140000000000001,-0.0
-58.512,50.0,8.512,-0.0
-18.884,18.884,0.0,-0.0
